file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00613_0622_4433868_to_4435948,ཧ་ཡ་གྲི་ཝ་ཧུ་ལུ་ཧུ་ལུ་ཧཱུཾ་ཕཊ།  ,ha ya gri wa hu lu hu lu hUM phaT/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00613_0622_4433868_to_4435948.wav,STT_TT,3,32,2.08,wav16k/STT_TT00613_0622_4433868_to_4435948.wav,ཧ་ཡ་གྲི་ཝ། ཧུ་ལུ་ཧུ་ལུ་ཧཱུཾ་ཕཊ།
STT_CS-D-2014-M-D-B04-2-T-01_0016_84474_to_86633,དེ་ནས་མར་ད་ག་འདྲའི་འགྲོ་ཡིན་པེ་ལབ་རེད་ད།  ,de nas mar da ga 'dra'i 'gro yin pe lab red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B04-2-T-01_0016_84474_to_86633.wav,STT_CS,3,42,2.159,wav16k/STT_CS-D-2014-M-D-B04-2-T-01_0016_84474_to_86633.wav,དུ་མ་གཏོགས། ག་འདྲའི་འགྲོ་ཡིན་མིན་ལབ་རེད་ད།
STT_CS-D-2014-M-D-B04-2-T-01_0050_289542_to_292317,དཔེ་ཁུག་མང་པོ་འཁྱེར་འདུག འོ་དེ་བྱས་ནས་རོགས་པ་བྱེད་རོགས་རོགས་པ་བྱས་རེད་ད།  ,dpe khug mang po 'khyer 'dug_'o de byas nas rogs pa byed rogs rogs pa byas red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B04-2-T-01_0050_289542_to_292317.wav,STT_CS,3,74,2.775,wav16k/STT_CS-D-2014-M-D-B04-2-T-01_0050_289542_to_292317.wav,དཔེ་ཀོག་མང་པོ་དཔེ་ྱེལ་ཀྱི་འདུག འོ་དེ་བྱས་ནས་རོགས་པ་བྱེད་རོགས་རོགས་པ་བྱས་རེད་ད།
STT_CS-D-2014-M-D-B05-3-T-02_0082_528340_to_532543,ད་རཱ། ཨ་ནས་ང་ཚོ་ག་རེ་བྱེད་ཡག་ཡིན་པ་ལབ་རེད་ད། བསམ་བློ་མང་པོ་བཏང་རེད་ད་ང་ཚོ་ཁཱདཁྀ།  ,da rA/_a nas nga tsho ga re byed yag yin pa lab red da/_bsam blo mang po btang red da nga tsho khAdakh-i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0082_528340_to_532543.wav,STT_CS,3,82,4.203,wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0082_528340_to_532543.wav,རཱ། ཨེ་ནས་ང་ཚོ་ག་རེ་བྱེད་ཡ་ཡིན་པས་ལབ་རེད་ད། བསམ་བློ་མང་པོ་བཏང་རེད་ད། ང་ཚོ་ཁཱདཁྀ།
STT_TT00586_0007_29957_to_33643,ཏིང་ངེ་འཛིན་བདེ་བླག་ཏུ་གྲུབ་པའི་ཨོ་འདུག་སེ་བྱས་ན། རང་རྒྱུད་ལ་ཏིང་ངེ་འཛིན་གི་བསླབ་པ་འཁྲུངས་ཀི་རེད་ཟེར།  ,ting nge 'dzin bde blag tu grub pa'i o 'dug se byas na/_rang rgyud la ting nge 'dzin gi bslab pa 'khrungs ki red zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00586_0007_29957_to_33643.wav,STT_TT,3,103,3.686,wav16k/STT_TT00586_0007_29957_to_33643.wav,ཏིང་ངེ་འཛིན་བདེ་བླག་ཏུ་གྲུབ་པས། ཨོ་འདུག་སེ་བྱས་ནས་ རང་རྒྱུད་ལ་ཏིང་ངེ་འཛིན་གི་བསླབ་པ་འཁྲུངས་ཀི་རེད་ཟེ།
STT_TT00255_661.100-662.450,ཡག་པོ་ཁྱོན་ནས་ཡོད་མ་རེད་བཟེ་རེ་བྱས།  ,yag po khyon nas yod ma red bze re byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00255_661.100-662.450.wav,STT_TT,3,37,1.3500000000000227,wav16k/STT_TT00255_661.100-662.450.wav,ཡག་པོ་ྒྱུན་ནས་ཡོད་མ་རེད། ཟེ་ར་ཅན།
STT_TT00504_0138_712093_to_716061,དེ་བྱེད་ཡོང་དུས་ད་སྤྱོད་འཇུག་དེ། ཡང་སྐོར་བསྐྱར་སྐོར་བྱས་ནས་ད་ང་ཚོས་དཔེ་ཤི་ཤི་བར་དུ།  ,de byed yong dus da spyod 'jug de/_yang skor bskyar skor byas nas da nga tshos dpe shi shi bar du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00504_0138_712093_to_716061.wav,STT_TT,3,85,3.968,wav16k/STT_TT00504_0138_712093_to_716061.wav,འདི་བྱེད་ཡ་ང་དུས། ད་སྤྱོད་འཇུག་འདི། ཡང་སྐོར་བསྐྱར་སྐོར་བྱས་ནས། ད་ང་ཚོས་དཔེ་ཤི་ཤི་བར་དུ་
STT_TT00484_0209_1037205_to_1039413,པུ་གུ་གཅིག་གིས་ཕར་ཕྱོགས་ཕ་གིར། ཐག་རྩེད་འཁོར་ལོ་རྩེ་ག་བྱེད་ཀི་ཡོད་རེད།  ,pu gu gcig gis phar phyogs pha gir/_thag rtsed 'khor lo rtse ga byed ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00484_0209_1037205_to_1039413.wav,STT_TT,3,71,2.208,wav16k/STT_TT00484_0209_1037205_to_1039413.wav,པུ་གུ་གཅིག་གིས་ཕར་ཕྱོགས་ཕ་གི ཐབ་རྩོད་གོ་ལོག་རྩེལ་ག་བྱེད་ཀི་ཡོད་རེད།
STT_TT00283_00337.950-00340.850,ཨེ་ནས་ང་ཚོའི་ཟོལ་འདྲ་མི་ཐེབས་ཆག་ཅིག་དཔེ་དེ་ཤི་མ་དགོས་པ་ཅིག་ག་བར་ཡོད་རེད།  ,e nas nga tsho'i zol 'dra mi thebs chag cig dpe de shi ma dgos pa cig ga bar yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00283_00337.950-00340.850.wav,STT_TT,3,74,2.900000000000034,wav16k/STT_TT00283_00337.950-00340.850.wav,དེ་ནས་ང་ཚོའི་ཟོལ་འདྲས་མི་ཐེབས་ཆག་ཅིག་དེ་ཤི་མ་དགོས་པ་ཅིག་ག་བར་ཡོད་རེད།
STT_TT00507_0497_4937619_to_4940486,གལ་སྲིད་སྐྱོན་ཅིག་བརྗོད་དགོས་བྱུང་ན་ཡང་། མི་དེ་མེད་པའི་སྐབས་ལ་བརྗོད་པ་དེ།  ,gal srid skyon cig brjod dgos byung na yang /_mi de med pa'i skabs la brjod pa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00507_0497_4937619_to_4940486.wav,STT_TT,3,75,2.867,wav16k/STT_TT00507_0497_4937619_to_4940486.wav,གལ་སྲིད་སྐྱོན་ཅིག་རྗུད་དགོས་བྱུང་ན་ཡང་། མི་དེ་མེད་པའི་སྐབས་ལ་བརྒྱུད་པ་དེ།
